[train: 1, 50 / 937] FPS: 57.6 (63.5)  ,  DataTime: 0.047 (0.012)  ,  ForwardTime: 0.497  ,  TotalTime: 0.556  ,  Loss/total: 1.11579  ,  Loss/giou: 0.25920  ,  Loss/l1: 0.02604  ,  Loss/location: 0.46717  ,  IoU: 0.76205
[train: 1, 50 / 937] FPS: 57.5 (63.1)  ,  DataTime: 0.047 (0.011)  ,  ForwardTime: 0.498  ,  TotalTime: 0.556  ,  Loss/total: 1.13820  ,  Loss/giou: 0.26752  ,  Loss/l1: 0.02749  ,  Loss/location: 0.46571  ,  IoU: 0.75626
[train: 1, 100 / 937] FPS: 60.0 (63.0)  ,  DataTime: 0.032 (0.012)  ,  ForwardTime: 0.490  ,  TotalTime: 0.533  ,  Loss/total: 1.01707  ,  Loss/giou: 0.23948  ,  Loss/l1: 0.02325  ,  Loss/location: 0.42187  ,  IoU: 0.77991
[train: 1, 100 / 937] FPS: 60.0 (62.0)  ,  DataTime: 0.031 (0.011)  ,  ForwardTime: 0.491  ,  TotalTime: 0.533  ,  Loss/total: 1.03771  ,  Loss/giou: 0.24742  ,  Loss/l1: 0.02446  ,  Loss/location: 0.42058  ,  IoU: 0.77395
[train: 1, 150 / 937] FPS: 60.8 (64.3)  ,  DataTime: 0.027 (0.012)  ,  ForwardTime: 0.488  ,  TotalTime: 0.526  ,  Loss/total: 0.97014  ,  Loss/giou: 0.23075  ,  Loss/l1: 0.02207  ,  Loss/location: 0.39827  ,  IoU: 0.78756
[train: 1, 150 / 937] FPS: 60.8 (63.2)  ,  DataTime: 0.026 (0.011)  ,  ForwardTime: 0.489  ,  TotalTime: 0.526  ,  Loss/total: 0.99459  ,  Loss/giou: 0.23852  ,  Loss/l1: 0.02331  ,  Loss/location: 0.40101  ,  IoU: 0.78209
[train: 1, 200 / 937] FPS: 61.2 (62.0)  ,  DataTime: 0.024 (0.012)  ,  ForwardTime: 0.487  ,  TotalTime: 0.523  ,  Loss/total: 0.95201  ,  Loss/giou: 0.22706  ,  Loss/l1: 0.02170  ,  Loss/location: 0.38939  ,  IoU: 0.79100
[train: 1, 200 / 937] FPS: 61.2 (62.7)  ,  DataTime: 0.023 (0.011)  ,  ForwardTime: 0.488  ,  TotalTime: 0.523  ,  Loss/total: 0.96923  ,  Loss/giou: 0.23202  ,  Loss/l1: 0.02251  ,  Loss/location: 0.39265  ,  IoU: 0.78750
[train: 1, 250 / 937] FPS: 61.5 (62.4)  ,  DataTime: 0.022 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.521  ,  Loss/total: 0.94400  ,  Loss/giou: 0.22502  ,  Loss/l1: 0.02151  ,  Loss/location: 0.38641  ,  IoU: 0.79304
[train: 1, 250 / 937] FPS: 61.5 (62.5)  ,  DataTime: 0.022 (0.011)  ,  ForwardTime: 0.487  ,  TotalTime: 0.521  ,  Loss/total: 0.94488  ,  Loss/giou: 0.22651  ,  Loss/l1: 0.02183  ,  Loss/location: 0.38272  ,  IoU: 0.79230
[train: 1, 300 / 937] FPS: 61.6 (63.1)  ,  DataTime: 0.021 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.519  ,  Loss/total: 0.92908  ,  Loss/giou: 0.22144  ,  Loss/l1: 0.02107  ,  Loss/location: 0.38084  ,  IoU: 0.79629
